GuideUID	TargetGene	Cell	Type	log2FC.D7	log2FC.D14
UID_032793	RTFDC1	HAP1	SM	0.0290452867108653	0.0382136060918364
UID_032794	RTFDC1	HAP1	SM	-0.116772293402142	-0.289452325338076
UID_032795	RTFDC1	HAP1	SM	-1.51639220725406	-1.88910423440938
UID_032796	RTFDC1	HAP1	SM	-2.43179760545576	-2.83253791763906
UID_032797	RTFDC1	HAP1	SM	-0.0640944376425659	-0.0518209256893253
UID_032798	RTFDC1	HAP1	SM	-0.0428160472962998	0.0726758889950919
UID_032799	RTFDC1	HAP1	SM	-0.0273728793394043	-0.146013696037494
UID_032800	RTFDC1	HAP1	SM	0.170757416640691	0.214407589808279
UID_032801	RTFDC1	HAP1	SM	-1.98474186550846	-2.34093603674792
UID_032802	RTFDC1	HAP1	PM	-0.887059072272047	-1.57648827269843
UID_032803	RTFDC1	HAP1	SM	0.0363717602595124	0.0118646200519558
UID_032804	RTFDC1	HAP1	SM	-0.0486540397513083	-0.244892675321183
UID_032805	RTFDC1	HAP1	SM	0.120002040779801	0.0203268706759123
UID_032806	RTFDC1	HAP1	SM	-0.122116085159744	-0.528093375473653
UID_032807	RTFDC1	HAP1	SM	-0.543562800092314	-0.671348778286923
UID_032808	RTFDC1	HAP1	SM	-0.0793427652217491	-0.0645447423460251
UID_032809	RTFDC1	HAP1	SM	-0.0689737106532115	-0.305199365959125
UID_032810	RTFDC1	HAP1	SM	-0.259614388648583	-0.724838455151557
UID_032811	RTFDC1	HAP1	SM	-0.0522374841694846	-0.177956289861216
UID_032812	RTFDC1	HAP1	SM	-0.742744369848394	-1.36795471656821
UID_032817	PSMA4	HAP1	PM	-2.09309748329769	-2.40881959487753
UID_032818	PSMA4	HAP1	SM	0.0913496776950497	0.240317484718037
UID_032819	PSMA4	HAP1	SM	0.240984131073166	0.163808908345714
UID_032820	PSMA4	HAP1	SM	-0.270662459094302	-0.324763450707404
UID_032821	PSMA4	HAP1	SM	-1.3630595458971	-1.71842221562213
UID_032822	PSMA4	HAP1	SM	-1.17002397984317	-1.38346716728368
UID_032823	PSMA4	HAP1	SM	-0.00957100573687976	-0.0683809592767942
UID_032824	PSMA4	HAP1	SM	-0.407203981859244	-0.393988292653204
UID_032825	PSMA4	HAP1	SM	-0.335720465091437	-0.270458493237837
UID_032826	PSMA4	HAP1	SM	-0.576944169171185	-0.911146336305291
UID_032827	PSMA4	HAP1	SM	-1.85351362555487	-2.23226277888739
UID_032828	PSMA4	HAP1	PM	-1.67474599421751	-1.83953575663641
UID_032829	PSMA4	HAP1	SM	-0.138547038981501	-0.0430509154479112
UID_032830	PSMA4	HAP1	SM	-0.10796177848411	0.00650046562722233
UID_032831	PSMA4	HAP1	SM	-0.0208265012986386	-0.0101041013556807
UID_032832	PSMA4	HAP1	SM	0.0323721317780083	0.212332675151429
UID_032833	PSMA4	HAP1	SM	-0.734423813669862	-0.739770340559438
UID_032834	PSMA4	HAP1	SM	-0.0668484395556955	0.0442440656181683
UID_032835	PSMA4	HAP1	SM	0.0483754879178421	0.126979461452102
UID_032836	PSMA4	HAP1	SM	0.0212933247271761	0.237350712361058
UID_032837	PSMA4	HAP1	SM	-1.55530441920853	-1.61116314471177
UID_032838	PSMA4	HAP1	SM	-1.23269981235977	-1.41292998623098
UID_032839	PSMA4	HAP1	PM	-1.35187542730904	-1.64549189265438
UID_032840	PSMA4	HAP1	SM	-0.104451949588942	-0.194231686806124
UID_032841	PSMA4	HAP1	SM	-0.0477182963710195	0.184623052161821
UID_032842	PSMA4	HAP1	SM	0.144114505505461	0.386300595444375
UID_032843	PSMA4	HAP1	SM	-0.805580225827487	-1.18301598061507
UID_032844	PSMA4	HAP1	SM	-1.1621646503683	-1.29669542471485
UID_032845	PSMA4	HAP1	SM	0.20584376694029	-0.0271662551763874
UID_032846	PSMA4	HAP1	SM	-0.0166448149694087	-0.0712339227165984
UID_032847	PSMA4	HAP1	SM	-0.250747833712047	-0.171485248076599
UID_032848	PSMA4	HAP1	SM	-0.602309223373558	-0.860885276079824
UID_032849	PSMA4	HAP1	SM	-0.348055703872175	-0.289994069292177
UID_032850	PSMA4	HAP1	PM	-3.04377737249592	-2.86707898376331
UID_032851	PSMA4	HAP1	SM	-0.0134145253455221	-0.131913733679142
UID_032852	PSMA4	HAP1	SM	-0.618536000416618	-0.753411456847186
UID_032853	PSMA4	HAP1	SM	-1.44684690244318	-1.78450526715261
UID_032854	PSMA4	HAP1	SM	-1.10832110967586	-1.35877588480249
UID_032855	PSMA4	HAP1	SM	-1.91802935987654	-2.15304175969286
UID_032856	PSMA4	HAP1	SM	-0.096404780839496	-0.00218129054526754
UID_032857	PSMA4	HAP1	SM	-1.04235843916173	-1.20088889881057
